Point, Exec_Time, Error, Exact_Estimated_Calls
[31  9  2], 28.97465491294861, 0.0, [1 0]
[25  5  4], 37.454641580581665, 1007.396596809573, [2 0]
[18  6 14], 24.25647258758545, 712.3656851029741, [3 0]
[38  7 23], 0.0021209716796875, 712.3656851029741, [3 1]
[19 11  2], 0.0013039112091064453, 712.3656851029741, [3 2]
[46  7 19], 0.0011737346649169922, 712.3656851029741, [3 3]
[16  5 26], 25.43507194519043, 581.6749220907398, [4 3]
[63  6 23], 31.443182945251465, 503.7460359676339, [5 3]
[57 11  4], 0.0021910667419433594, 503.7460359676339, [5 4]
[10  5 29], 0.0021066665649414062, 503.7460359676339, [5 5]
[13  7 31], 30.47017240524292, 450.5695135266615, [6 5]
[38  9 11], 32.666359186172485, 411.3120393741659, [7 5]
[47 10  2], 26.19126796722412, 380.80759995791834, [8 5]
[50 11 25], 0.0013110637664794922, 380.80759995791834, [8 6]
[23 10  5], 30.00483512878418, 356.2196747169644, [9 6]
[33 11 11], 28.109010696411133, 335.84811529790016, [10 6]
[24  5  2], 25.39574408531189, 318.62416668464004, [11 6]
[46  5 10], 0.00118255615234375, 318.62416668464004, [11 7]
[36  4 19], 0.0026924610137939453, 318.62416668464004, [11 8]
[16  8 23], 26.769999265670776, 303.80664898988164, [12 8]
[13  7 23], 25.87290382385254, 290.8755566579912, [13 8]
[31  4 18], 22.891541004180908, 279.4646190054707, [14 8]
[45  8 31], 32.33248496055603, 269.31031134842124, [15 8]
[41 11  6], 34.587660789489746, 260.1823534696838, [16 8]
[15 10 14], 0.0011534690856933594, 260.1823534696838, [16 9]
[17 11 12], 0.0019195079803466797, 260.1823534696838, [16 10]
[50  9 29], 0.0011544227600097656, 260.1823534696838, [16 11]
[43 10 12], 42.197678089141846, 251.92086891541334, [17 11]
[23 11 15], 30.381967067718506, 244.4022187211996, [18 11]
[62  9 21], 79.98498868942261, 237.51881747916573, [19 11]
[15  7 23], 0.0010995864868164062, 237.51881747916573, [19 12]
[59 10 30], 0.001173257827758789, 237.51881747916573, [19 13]
[42 11  6], 33.1126925945282, 231.18607369411117, [20 13]
[50  5  4], 0.0012624263763427734, 231.18607369411117, [20 14]
[36  4 20], 25.976184844970703, 225.33279681910898, [21 14]
[18  7 32], 0.0013194084167480469, 225.33279681910898, [21 15]
[47  7  4], 0.0018038749694824219, 225.33279681910898, [21 16]
[26  5  2], 0.0016522407531738281, 225.33279681910898, [21 17]
[13  5 29], 0.0018079280853271484, 225.33279681910898, [21 18]
[38  4 19], 0.0012614727020263672, 225.33279681910898, [21 19]
[46 10 10], 0.0013298988342285156, 225.33279681910898, [21 20]
[62  6 23], 33.53442692756653, 219.90357581333114, [22 20]
[31 11  2], 0.0013298988342285156, 219.90357581333114, [22 21]
[38 10 15], 0.0018079280853271484, 219.90357581333114, [22 22]
[21 11  5], 0.0021927356719970703, 219.90357581333114, [22 23]
[19 11  4], 24.920212984085083, 214.85096709610323, [23 23]
[24  9 28], 54.06901478767395, 210.13114882199238, [24 23]
[18  6 13], 23.982091188430786, 205.70801115129512, [25 23]
[33 10 19], 40.79769039154053, 201.5532880524453, [26 23]
[19 11  3], 26.034106016159058, 197.64272550995634, [27 23]
[40  9 12], 34.24127507209778, 193.948926966209, [28 23]
[23  5  5], 25.43277668952942, 190.45486348752934, [29 23]
[29  4 18], 0.0013048648834228516, 190.45486348752934, [29 24]
[41  9  6], 34.901954650878906, 187.14423001496442, [30 24]
[51 11  2], 0.0012941360473632812, 187.14423001496442, [30 25]
[19 10  5], 0.002545595169067383, 187.14423001496442, [30 26]
[41 11  2], 0.0014121532440185547, 187.14423001496442, [30 27]
[15 10  2], 25.819623708724976, 184.0011083034625, [31 27]
[24  6  2], 0.0012171268463134766, 184.0011083034625, [31 28]
[31  9  6], 0.00180816650390625, 184.0011083034625, [31 29]
[ 9 10  4], 22.595266103744507, 181.01130791931234, [32 29]
[24 11  2], 0.0012309551239013672, 181.01130791931234, [32 30]
[38  7 20], 0.0015790462493896484, 181.01130791931234, [32 31]
[39 10  4], 0.0013720989227294922, 181.01130791931234, [32 32]
[25 10  5], 37.32626509666443, 178.1606634869996, [33 32]
[49 10  3], 29.970556497573853, 175.44108476310936, [34 32]
[26  5  2], 0.0011632442474365234, 175.44108476310936, [34 33]
[23  5 30], 0.003162384033203125, 175.44108476310936, [34 34]
[32  9  2], 0.0023565292358398438, 175.44108476310936, [34 35]
[19  5  2], 42.16829180717468, 172.84729447899682, [35 35]
[15 10  3], 0.001276254653930664, 172.84729447899682, [35 36]
[18 11  6], 0.0017974376678466797, 172.84729447899682, [35 37]
[19 11  6], 31.547415494918823, 170.36037910268413, [36 37]
[40  7 25], 30.858669757843018, 167.985588819491, [37 37]
[40  9 19], 47.105612993240356, 165.70226927073344, [38 37]
[47 10  9], 0.001990795135498047, 165.70226927073344, [38 38]
[14  7 14], 0.002238035202026367, 165.70226927073344, [38 39]
[37  4 18], 25.76788330078125, 163.5087184095896, [39 39]
[18 11  3], 25.611692428588867, 161.39945411293618, [40 39]
[30  4  6], 26.912731409072876, 159.3749937774252, [41 39]
[14  5  2], 38.0034499168396, 157.4281353693516, [42 39]
[46  6 19], 0.002279520034790039, 157.4281353693516, [42 40]
