Learn Time, Estimation
0.01201009750366211,0
0.009886503219604492,0
0.009612560272216797,0
0.011391401290893555,1
0.010387420654296875,1
0.011522769927978516,1
0.010270357131958008,0
0.00968623161315918,0
0.01766228675842285,1
0.018762588500976562,1
0.010660409927368164,0
0.015415668487548828,0
0.01719355583190918,0
0.00889730453491211,1
0.009546041488647461,0
0.00933074951171875,0
0.009424209594726562,0
0.009388208389282227,1
0.010140419006347656,1
0.009935617446899414,0
0.010862588882446289,0
0.018213987350463867,0
0.014325380325317383,0
0.010984182357788086,0
0.009382009506225586,1
0.009283304214477539,1
0.012602090835571289,1
0.010154008865356445,0
0.009382247924804688,0
0.01780843734741211,0
0.008968114852905273,1
0.009639263153076172,1
0.00984501838684082,0
0.010363340377807617,1
0.009669065475463867,0
0.010865926742553711,1
0.009894847869873047,1
0.009781360626220703,1
0.010473251342773438,1
0.0120697021484375,1
0.010869264602661133,1
0.010448694229125977,0
0.010295391082763672,1
0.017610549926757812,1
0.017781496047973633,1
0.010922670364379883,0
0.011329412460327148,0
0.019265413284301758,0
0.010289907455444336,0
0.015637874603271484,0
0.010942935943603516,0
0.009644508361816406,0
0.010437726974487305,1
0.010640382766723633,0
0.009171247482299805,1
0.018994808197021484,1
0.009554147720336914,1
0.01050257682800293,0
0.008966684341430664,1
0.009366273880004883,1
0.009859085083007812,0
0.010411500930786133,1
0.011626243591308594,1
0.013265132904052734,1
0.010584115982055664,0
0.01927471160888672,0
0.010387182235717773,1
0.018592119216918945,1
0.01794123649597168,1
0.010235309600830078,0
0.010768651962280273,1
0.01017308235168457,1
0.009422063827514648,0
0.009666681289672852,0
0.010177850723266602,0
0.016426563262939453,1
0.010373830795288086,1
0.009978055953979492,0
0.010094881057739258,0
0.011317968368530273,0
0.014259099960327148,0
0.017952442169189453,1
