DEPTH,Slice Logic-Slice LUTs*,Slice Logic-Slice Registers,Memory-Block RAM Tile,Frequency
666,16.1,26.1,0.0,-302.6634382566586
564,13.79,22.22,0.0,-313.6762860727729
909,21.9,35.6,0.0,-309.31023816888336
634,15.25,24.85,0.0,-270.4164413196322
501,12.3,19.72,0.0,-298.06259314456037
850,20.27,33.27,0.0,-303.21406913280777
666,16.1,26.1,0.0,-302.6634382566586
618,15.17,24.32,0.0,-271.5177844148792
660,15.97,25.87,0.0,-309.0234857849196
836,20.05,32.75,0.0,-310.2699348433137
564,13.79,22.22,0.0,-313.6762860727729
666,16.1,26.1,0.0,-302.6634382566586
550,13.42,21.62,0.0,-315.059861373661
736,17.72,28.82,0.0,-309.98140111593307
561,13.77,22.11,0.0,-281.37310073157005
705,17.01,27.62,0.0,-279.1736460078169
908,21.76,35.56,0.0,-300.3003003003003
943,22.68,36.92,0.0,-306.0912151821243
729,17.49,28.51,0.0,-297.70765108663295
883,21.19,34.57,0.0,-310.65548306927616
618,15.17,24.32,0.0,-271.5177844148792
924,22.19,36.16,0.0,-297.2651605231867
884,21.23,34.6,0.0,-297.53049687592977
560,13.74,22.06,0.0,-279.1736460078169
503,12.34,19.78,0.0,-300.6614552014432
616,15.06,24.22,0.0,-277.0083102493075
506,12.43,19.9,0.0,-295.6830277942046
660,15.97,25.87,0.0,-309.0234857849196
954,23.04,37.33,0.0,-308.641975308642
838,20.15,32.81,0.0,-302.2974607013301
848,20.5,33.22,0.0,-309.2145949288807
665,15.97,26.04,0.0,-302.2974607013301
952,22.73,37.27,0.0,-312.5976867771179
674,16.18,26.37,0.0,-311.13876789047913
904,21.65,35.41,0.0,-309.88534242330337
766,18.43,30.0,0.0,-276.62517289073304
676,16.32,26.48,0.0,-310.9452736318408
881,21.1,34.49,0.0,-307.7870113881194
814,19.51,31.86,0.0,-297.88501638367586
878,21.13,34.38,0.0,-308.45157310302284
636,15.36,24.9,0.0,-299.22202274087374
913,21.82,35.76,0.0,-301.20481927710847
651,15.67,25.48,0.0,-271.9608376393799
633,15.27,24.79,0.0,-299.22202274087374
634,15.25,24.85,0.0,-270.4164413196322
963,23.18,37.7,0.0,-297.88501638367586
561,13.77,22.11,0.0,-281.37310073157005
746,18.01,29.22,0.0,-268.74496103198067
866,20.74,33.9,0.0,-277.4694783573807
831,20.1,32.55,0.0,-312.6954346466542
748,18.03,29.31,0.0,-309.6934035305048
600,14.76,23.62,0.0,-311.6235587410408
578,14.12,22.75,0.0,-310.4625892579944
681,16.29,26.64,0.0,-312.01248049922
985,23.53,38.56,0.0,-307.8817733990148
584,14.24,22.98,0.0,-277.31558513588465
705,17.01,27.62,0.0,-279.1736460078169
768,18.44,30.09,0.0,-299.1325157044571
665,15.97,26.04,0.0,-302.2974607013301
632,15.24,24.77,0.0,-301.65912518853696
950,22.8,37.2,0.0,-309.1190108191654
573,14.07,22.59,0.0,-301.02347983142687
957,23.01,37.45,0.0,-308.26140567200986
912,21.93,35.73,0.0,-310.36623215394167
924,22.19,36.16,0.0,-297.2651605231867
891,21.41,34.88,0.0,-308.9280197713933
836,20.05,32.75,0.0,-310.2699348433137
629,15.17,24.65,0.0,-299.04306220095697
674,16.18,26.37,0.0,-311.13876789047913
657,15.82,25.7,0.0,-277.39251040221916
746,18.01,29.22,0.0,-268.74496103198067
983,23.6,38.5,0.0,-278.5515320334262
800,19.25,31.33,0.0,-314.7623544224111
761,18.33,29.79,0.0,-310.07751937984494
954,23.04,37.33,0.0,-308.641975308642
935,22.48,36.62,0.0,-312.40237425804435
612,14.97,24.06,0.0,-279.79854504756577
960,23.03,37.58,0.0,-310.8486167236556
619,15.26,24.36,0.0,-294.5508100147275
858,20.57,33.58,0.0,-299.4011976047904
594,14.5,23.33,0.0,-313.08703819661866
882,21.12,34.54,0.0,-297.441998810232
635,15.42,24.88,0.0,-277.39251040221916
904,21.65,35.41,0.0,-309.88534242330337
909,21.9,35.6,0.0,-309.31023816888336
885,21.33,34.67,0.0,-308.07147258163894
710,17.09,27.81,0.0,-301.65912518853696
640,15.41,25.07,0.0,-313.38138514572233
700,16.93,27.4,0.0,-267.8810608090008
594,14.5,23.33,0.0,-313.08703819661866
686,16.6,26.88,0.0,-299.1325157044571
736,17.72,28.82,0.0,-309.98140111593307
981,23.45,38.35,0.0,-308.1664098613251
587,14.3,23.08,0.0,-303.951367781155
682,16.48,26.73,0.0,-301.84123151222457
593,14.77,23.37,0.0,-279.9552071668533
846,20.35,33.13,0.0,-296.7359050445104
709,17.09,27.76,0.0,-301.65912518853696
572,14.02,22.5,0.0,-302.6634382566586
628,15.15,24.61,0.0,-271.14967462039044
